brand,model,type,exteriorColor,warehouse,sourceId,sourceName,currentStock,minStock,maxStock,soldLast90Days,soldLast30Days,averageMonthlySales,leadTimeDays,leadTimeDemand,suggestedOrderQuantity,reorderPoint,targetCoverageMonths,urgency,reason
"MB","MG T60 Pick-up Diesel - 2022 CCC","MB_MG_Diesel_CCC","White","Freezone Warehouse","baraka","البركة","0","1","10","1","0","0.33","30","0.33","10","2","3","critical","Current stock is below minimum stock."
"MB","MG T60 Pick-up Diesel - 2022 CCC","MB_MG_Diesel_CCC","Silver","","baraka","البركة","0","1","10","0","0","0","30","0","10","2","3","critical","Current stock is below minimum stock."
"JAC","JAC T8 Pick-up Double Cabin Diesel 2023 CCC","JAC_T8_Diesel_CCC","Red","","baraka","البركة","0","1","10","1","1","0.33","30","0.33","10","2","3","critical","Current stock is below minimum stock."
"ROX","ROX 01 VIP 6-Seats REV - 2025 GCC","ROX_01_REV_GCC","","","baraka","البركة","0","1","10","0","0","0","30","0","10","2","3","critical","Current stock is below minimum stock."
"ROX","ROX 01 7-Seats REV - 2025 GCC","ROX_01_REV_GCC","Black","","baraka","البركة","0","1","10","2","1","0.67","30","0.67","10","2","3","critical","Current stock is below minimum stock."
"ROX","ROX 01 VIP 6-Seats REV - 2025 GCC","ROX_01_REV_GCC","White","","baraka","البركة","0","1","10","6","0","2","30","2","10","2","3","critical","Current stock is below minimum stock."
"ROX","ROX 01 VIP 6-Seats REV - 2025 GCC","ROX_01_REV_GCC","Grey","","baraka","البركة","0","1","10","3","1","1","30","1","10","2","3","critical","Current stock is below minimum stock."
"ROX","ROX 01 VIP 6-Seats REV - 2025 GCC","ROX_01_REV_GCC","Black","","baraka","البركة","0","1","10","1","1","0.33","30","0.33","10","2","3","critical","Current stock is below minimum stock."
"ROX","ROX 01 7-Seats REV - 2025 GCC","ROX_01_REV_GCC","","","baraka","البركة","0","1","10","0","0","0","30","0","10","2","3","critical","Current stock is below minimum stock."
"ROX","ROX 01 VIP 6-Seats REV - 2026 GCC","ROX_01_REV_GCC","Black","","baraka","البركة","0","1","10","12","12","4","30","4","10","2","3","critical","Current stock is below minimum stock."
"FOR","T5EV Friday Exclusive-410Km","T5EV Friday","White","","dania","دانية الضلال","0","1","10","0","0","0","30","0","10","2","3","critical","Current stock is below minimum stock."
"FOR","T5EV Friday Exclusive-410Km","T5EV Friday","Green","","dania","دانية الضلال","0","1","10","0","0","0","30","0","10","2","3","critical","Current stock is below minimum stock."
"FOR","T5 HEV Hybrid Exclusive Version","T5 HEV","Black","","dania","دانية الضلال","0","1","10","0","0","0","30","0","10","2","3","critical","Current stock is below minimum stock."
"FOR","T5 HEV Hybrid Exclusive Version","T5 HEV","White","","dania","دانية الضلال","0","1","10","0","0","0","30","0","10","2","3","critical","Current stock is below minimum stock."
"FOR","S60EV Series - Standard type","S60EV Series","Blue","","dania","دانية الضلال","0","1","10","0","0","0","30","0","10","2","3","critical","Current stock is below minimum stock."
"FOR","S60EV Series - Standard type","S60EV Series","White","","dania","دانية الضلال","0","1","10","0","0","0","30","0","10","2","3","critical","Current stock is below minimum stock."
"FOR","T5EV Friday Exclusive-410Km","T5EV Friday","Blue","","dania","دانية الضلال","0","1","10","0","0","0","30","0","10","2","3","critical","Current stock is below minimum stock."
